election;Code INSEE
2014_muni;85081
2014_muni;85092
2014_muni;85118
2014_muni;85160
2014_muni;85182
2014_muni;85218
2014_muni;85298
2014_muni;86261
2014_muni;87001
2014_muni;87032
2014_muni;87085
2014_muni;89024
2014_muni;90008
2014_muni;90033
2014_muni;91027
2014_muni;92004
2014_muni;92024
2014_muni;92025
2014_muni;93001
2014_muni;93006
2014_muni;93007
2014_muni;93008
2014_muni;93010
2014_muni;93051
2014_muni;94004
2014_muni;94017
2014_muni;94022
2014_muni;94034
2014_muni;94060
2014_muni;94076
2014_muni;94078
2014_muni;95018
2014_muni;95039
2014_muni;95091
2020_muni;01185
2020_muni;01354
2020_muni;01427
2020_muni;03082
2020_muni;03185
2020_muni;04088
2020_muni;04112
2020_muni;07010
2020_muni;07042
2020_muni;07324
2020_muni;08490
2020_muni;11203
2020_muni;12145
2020_muni;12208
2020_muni;13005
2020_muni;13019
2020_muni;13041
2020_muni;17028
2020_muni;17146
2020_muni;17218
2020_muni;17291
2020_muni;17415
2020_muni;22106
2020_muni;22162
2020_muni;22251
2020_muni;22258
2020_muni;23008
2020_muni;24026
2020_muni;24294
2020_muni;24372
2020_muni;25056
2020_muni;25057
2020_muni;25580
2020_muni;26058
2020_muni;26108
2020_muni;26113
2020_muni;26325
2020_muni;28070
2020_muni;28229
2020_muni;29003
2020_muni;29170
2020_muni;29174
2020_muni;29189
2020_muni;29199
2020_muni;30341
2020_muni;31165
2020_muni;31169
2020_muni;31248
2020_muni;31299
2020_muni;31424
2020_muni;31446
2020_muni;31458
2020_muni;31490
2020_muni;31547
2020_muni;31555
2020_muni;31557
2020_muni;32132
2020_muni;33063
2020_muni;33312
2020_muni;33318
2020_muni;33449
2020_muni;33550
2020_muni;34057
2020_muni;34079
2020_muni;34090
2020_muni;34142
2020_muni;34270
2020_muni;34301
2020_muni;35049
2020_muni;35055
2020_muni;35228
2020_muni;35240
2020_muni;35337
2020_muni;37003
2020_muni;37123
2020_muni;37233
2020_muni;38053
2020_muni;38140
2020_muni;38158
2020_muni;38229
2020_muni;38239
2020_muni;38298
2020_muni;38400
2020_muni;38474
2020_muni;38547
2020_muni;39300
2020_muni;40001
2020_muni;40184
2020_muni;40217
2020_muni;40224
2020_muni;40281
2020_muni;40287
2020_muni;41194
2020_muni;42186
2020_muni;44015
2020_muni;44020
2020_muni;44021
2020_muni;44043
2020_muni;44072
2020_muni;44120
2020_muni;44172
2020_muni;44204
2020_muni;49301
2020_muni;51030
2020_muni;53130
2020_muni;53147
2020_muni;54580
2020_muni;55029
2020_muni;56003
2020_muni;56118
2020_muni;57463
2020_muni;59002
2020_muni;59153
2020_muni;59220
2020_muni;59225
2020_muni;59383
2020_muni;59482
2020_muni;59560
2020_muni;60360
2020_muni;60439
2020_muni;61168
2020_muni;61214
2020_muni;62173
2020_muni;63014
2020_muni;63042
2020_muni;63125
2020_muni;63300
2020_muni;63338
2020_muni;63430
2020_muni;63470
2020_muni;64102
2020_muni;64230
2020_muni;67218
2020_muni;67482
2020_muni;68162
2020_muni;68298
2020_muni;69024
2020_muni;69029
2020_muni;69064
2020_muni;69089
2020_muni;69149
2020_muni;69259
2020_muni;69282
2020_muni;71306
2020_muni;72054
2020_muni;72329
2020_muni;72386
2020_muni;73029
2020_muni;73031
2020_muni;73065
2020_muni;74010
2020_muni;74123
2020_muni;76259
2020_muni;76384
2020_muni;77143
2020_muni;77316
2020_muni;77327
2020_muni;77464
2020_muni;77495
2020_muni;77514
2020_muni;78015
2020_muni;78165
2020_muni;78354
2020_muni;78486
2020_muni;78537
2020_muni;78621
2020_muni;78644
2020_muni;82037
2020_muni;82075
2020_muni;83070
2020_muni;83098
2020_muni;84031
2020_muni;85008
2020_muni;85089
2020_muni;85092
2020_muni;85191
2020_muni;85234
2020_muni;86297
2020_muni;87114
2020_muni;88196
2020_muni;90008
2020_muni;90075
2020_muni;91103
2020_muni;91174
2020_muni;91200
2020_muni;91434
2020_muni;91589
2020_muni;92022
2020_muni;92025
2020_muni;92032
2020_muni;92049
2020_muni;93030
2020_muni;93050
2020_muni;93070
2020_muni;94076
2020_muni;95018
2020_muni;95127
2020_muni;95203
