annee,ident_election_ville,Nuance_muni,voix_pct,Nuance_interco
2014,01004,LDVD,61.30952380952381,NC
2014,01005,LDIV,100.0,LDVD
2014,01007,LDVG,46.77914110429448,NC
2014,01010,LDVD,56.15384615384615,NC
2014,01014,LUMP,100.0,LDVD
2014,01021,LDIV,56.611570247933884,LDVD
2014,01022,LDVD,65.09274873524453,LREM
2014,01024,LDVD,59.154929577464785,LUG
2014,01025,LDIV,100.0,LDVD
2014,01027,LDVD,72.07792207792207,LDVD
2014,01031,LDVG,60.31904287138584,LDVD
2014,01032,LDIV,73.87068201948627,LDVD
2014,01033,LDVD,71.62471395881008,
2014,01034,LDVD,51.172761664564945,LREM
2014,01043,LDVD,64.75237091675447,LDVG
2014,01049,LDVD,100.0,LDVD
2014,01053,LUG,50.64127477652546,LUG
2014,01054,LDVD,64.99189627228526,NC
2014,01061,LDVD,100.0,LREM
2014,01065,LDVD,100.0,LUG
2014,01069,LDVG,100.0,LUG
2014,01071,LDVD,100.0,LDVD
2014,01072,LDVD,100.0,LUG
2014,01074,LDIV,100.0,LDVD
2014,01075,LDVD,100.0,LDVD
2014,01078,LDIV,100.0,LDVD
2014,01089,LDVD,100.0,NC
2014,01092,LDVD,69.24157303370787,LDVD
2014,01093,LUMP,53.2518337408313,LDVD
2014,01099,LDVG,100.0,NC
2014,01103,LDVG,100.0,LDVD
2014,01105,LDVD,100.0,LDVD
2014,01108,LDVD,100.0,LUG
2014,01109,LDVD,100.0,LDVD
2014,01115,LSOC,100.0,LUG
2014,01118,LDIV,100.0,NC
2014,01123,LDVD,68.80570409982175,UG
2014,01130,LDVG,100.0,LUG
2014,01134,LDVD,59.496855345911946,UG
2014,01135,LDVD,54.99231950844854,LDVD
2014,01138,LDVD,55.5895865237366,LREM
2014,01142,LDVD,100.0,LDVD
2014,01143,LUMP,52.09125475285171,LDVD
2014,01145,LDVD,100.0,LUG
2014,01148,LDVG,61.69265033407573,LDVD
2014,01151,LDIV,56.43410852713179,LUG
2014,01153,LDVD,100.0,LDVD
2014,01157,LDVD,100.0,LDVD
2014,01159,LDVD,51.40243902439025,LDVD
2014,01160,LDVD,25.222900046926327,LDVD
2014,01163,LDVG,100.0,LUG
2014,01165,LDVD,100.0,LDVD
2014,01166,LDVD,100.0,LDVD
2014,01173,LDVD,55.76417574164476,LDVD
2014,01179,LDIV,100.0,UG
2014,01181,LDVD,100.0,LDVD
2014,01183,LDVD,100.0,LDVD
2014,01185,LUDI,30.639097744360903,LDVD
2014,01189,LDVG,100.0,
2014,01192,LDVD,100.0,LDVD
2014,01194,LDIV,28.38685861941676,LUD
2014,01195,LDVG,100.0,LUG
2014,01196,LDVD,71.19266055045873,LUG
2014,01199,LDVG,65.07430997876857,LDVG
2014,01202,LDVD,72.46646795827124,NC
2014,01203,LDIV,100.0,UG
2014,01211,LDVG,100.0,LUG
2014,01213,LDVD,57.3170731707317,NC
2014,01224,LDVD,76.4808362369338,NC
2014,01229,LDVD,100.0,LUG
2014,01231,LDIV,100.0,LDVD
2014,01232,LDVG,64.04199475065617,LUG
2014,01236,LDVD,100.0,LUG
2014,01237,LDVD,100.0,LDVD
2014,01238,LDVD,100.0,LDVD
2014,01241,LDVD,100.0,LUG
2014,01243,LDIV,67.0608108108108,LDVD
2014,01244,LDVD,67.12126796903797,NC
2014,01246,LDVD,56.71462829736211,UG
2014,01248,LDVD,100.0,LDVD
2014,01249,LDVG,24.055963053518063,LDVG
2014,01250,LDVD,73.3955659276546,LDVD
2014,01254,LDVD,100.0,LUG
2014,01258,LDVD,100.0,LDVD
2014,01262,LDVD,28.292070326515965,LDVD
2014,01263,LDVD,25.130133024869867,LDVD
2014,01265,LDVD,100.0,LDVD
2014,01266,LDVG,67.7626303127506,LUG
2014,01267,LDVG,57.14285714285714,LDVD
2014,01269,LDVD,76.93032015065914,LDVD
2014,01272,LDIV,51.06382978723404,LDVD
2014,01273,LDVG,63.20630749014454,LDVG
2014,01275,LDIV,57.54141238012206,LDVG
2014,01276,LDVD,58.64661654135338,LDVD
2014,01281,LDVD,51.82232346241457,LDVD
2014,01283,LDVD,53.403234405544694,LDVD
2014,01285,LDIV,50.4725897920605,LDVD
2014,01288,LDVG,66.35514018691589,LDVD
2014,01289,LDVD,64.60531102218988,LUG
2014,01290,LVEC,21.323529411764707,NC
2014,01301,LDVD,55.83524027459954,LUG
2014,01303,LDVD,23.844282238442823,LDVG
2014,01304,LDIV,65.48582995951418,LDVG
2014,01305,LUMP,51.43540669856459,LDVD
2014,01306,LDVD,100.0,UG
2014,01313,LDVD,54.372019077901435,LDVD
2014,01314,LDIV,26.03092783505155,LDVG
2014,01320,LUMP,63.06517909571344,LDVD
2014,01322,LDVG,54.66254507985574,LDVD
2014,01333,LDVD,61.78217821782178,LDVD
2014,01336,LDVG,100.0,LUG
2014,01337,LDVG,100.0,LDVD
2014,01339,LDVD,62.055837563451774,LDVD
2014,01343,LDVD,100.0,UG
2014,01344,LDVG,66.13092904743237,LUG
2014,01345,LDVD,67.59956942949408,NC
2014,01347,LDIV,50.701186623516726,LDVD
2014,01348,LDVG,100.0,LDVD
2014,01350,LDVD,64.53697056712132,LUG
2014,01351,LDVD,100.0,LDVD
2014,01353,LDVD,67.88321167883211,LDVD
2014,01354,LDVG,51.50044130626655,LDVD
2014,01360,LDVD,72.21297836938436,LDVD
2014,01361,LDVD,56.8988173455979,NC
2014,01363,LDVD,54.649827784156145,LDVG
2014,01365,LDIV,100.0,UG
2014,01370,LDVD,100.0,LUD
2014,01371,LDIV,24.11467116357504,LDVD
2014,01373,LDVD,100.0,LDVD
2014,01374,LDVD,100.0,LUG
2014,01376,LDVG,65.84481508339375,LDVG
2014,01378,LDVG,58.911325724319575,NC
2014,01383,LDVD,52.61538461538462,LDVD
2014,01384,LDVG,67.7536231884058,NC
2014,01386,LDVD,100.0,NC
2014,01388,LUMP,67.48971193415639,LUG
2014,01389,LDIV,52.66497461928934,LDVD
2014,01396,LDVD,100.0,NC
2014,01397,LDIV,53.97260273972603,LDVD
2014,01398,LDVD,100.0,LDVD
2014,01399,LDVD,61.95462478184991,LDVD
2014,01401,LDVG,59.069020866773684,LDVD
2014,01403,LDVG,100.0,NC
2014,01405,LDVD,100.0,LUG
2014,01416,LDVG,54.40528634361234,NC
2014,01418,LDIV,54.81481481481482,LDVG
2014,01419,LDVD,52.576687116564415,LDVD
2014,01420,LDVD,100.0,LDVD
2014,01422,LDVG,61.29985228951256,LUG
2014,01424,LDVD,100.0,LDVG
2014,01426,LDVG,55.80969807868252,LUG
2014,01427,LDVD,55.80554439533949,LDVD
2014,01431,LDIV,85.80968280467445,NC
2014,01435,LDVD,52.715654952076676,LDVD
2014,01443,LDVD,59.278088459583124,LDVD
2014,01444,LDIV,100.0,NC
2014,01446,LDVD,50.9009009009009,LDVD
2014,01447,LUMP,100.0,LUG
2014,01450,LDVD,100.0,NC
2014,01451,LDVD,75.57200538358008,LUG
2014,01452,LDVD,100.0,LREM
2014,01457,LUMP,100.0,UG
2014,02011,LDVD,52.347826086956516,NC
2014,02018,LDIV,55.602536997885835,NC
2014,02028,LDVG,68.52986217457887,LUD
2014,02037,LDIV,52.76315789473684,LUD
2014,02057,LDVD,52.03488372093024,NC
2014,02059,LDIV,63.66145354185833,LUG
2014,02064,LDVG,64.73429951690821,
2014,02086,LDIV,53.102189781021906,LUG
2014,02089,LDIV,100.0,
2014,02093,LDVG,100.0,NC
2014,02095,LDVG,63.66666666666667,NC
2014,02103,LSOC,100.0,
2014,02110,LDIV,62.02404809619239,NC
2014,02114,LDVG,100.0,NC
2014,02128,LDVG,100.0,LUD
2014,02131,LUDI,100.0,NC
2014,02135,LDVD,56.896551724137936,
2014,02141,LDVD,52.00892857142857,
2014,02163,LDVG,50.70688030160226,LDVG
2014,02165,LDVD,100.0,LUG
2014,02168,LDVG,62.06040546131568,NC
2014,02173,LDVD,27.921432123321733,LUG
2014,02186,LDVD,64.4916540212443,LDVG
2014,02187,LDVG,100.0,NC
2014,02203,LDVG,84.50704225352112,NC
2014,02217,LDVG,59.69289827255279,NC
2014,02226,LDIV,61.29707112970711,
2014,02231,LDIV,58.5081585081585,LDVD
2014,02237,LDVD,59.42028985507246,LDVD
2014,02238,LDIV,62.86407766990292,LUD
2014,02239,LDVD,100.0,NC
2014,02243,LDIV,51.40961857379768,
2014,02245,LDVG,51.08834827144686,
2014,02287,LDVG,69.95708154506438,NC
2014,02290,LDVG,100.0,NC
2014,02292,LDVG,100.0,NC
2014,02296,LDVD,100.0,NC
2014,02298,LDVD,100.0,LSOC
