id_election,insee,position,Code INSEE,Code Postal,Nuance_interco,annee,dep_x,dep_y,dept,election,president_nom,president_prenom,tour,Nom,prenom,Nuance,voix_pct_
2014_muni_t1,01075,2,01075,01480,LDVD,2014,01,01,01,2014_muni,deschizeaux,Jean Claude,t1,,,,
2014_muni_t1,01078,1,01078,01630,LDVD,2014,01,01,01,2014_muni,bouvier,Christophe,t1,CHAPPUIS,Claude,LDIV,100.0
2014_muni_t1,01078,2,01078,01630,LDVD,2014,01,01,01,2014_muni,bouvier,Christophe,t1,JOLIE,Christian,LDVG,0.0
2014_muni_t1,01089,1,01089,01500,NC,2014,01,01,01,2014_muni,guyader,Jean-Louis,t1,BRUNET,Joël,LDVD,100.0
2014_muni_t1,01089,2,01089,01500,NC,2014,01,01,01,2014_muni,guyader,Jean-Louis,t1,,,,
2014_muni_t1,01092,1,01092,01320,LDVD,2014,01,01,01,2014_muni,girer,MICHEL,t1,MICHON,André,LDVD,69.24157303370787
2014_muni_t1,01092,2,01092,01320,LDVD,2014,01,01,01,2014_muni,girer,MICHEL,t1,CHAUDEY,Agnès,LDIV,30.758426966292134
2014_muni_t1,01093,1,01093,01400,LDVD,2014,01,01,01,2014_muni,girer,MICHEL,t1,CLAYETTE,Yves,LUMP,53.2518337408313
2014_muni_t1,01093,2,01093,01400,LDVD,2014,01,01,01,2014_muni,girer,MICHEL,t1,FORAY,Guy,LDIV,46.748166259168705
2014_muni_t1,01099,1,01099,01150,NC,2014,01,01,01,2014_muni,guyader,Jean-Louis,t1,DULOT,René,LDVG,100.0
2014_muni_t1,01099,2,01099,01150,NC,2014,01,01,01,2014_muni,guyader,Jean-Louis,t1,,,,
2014_muni_t1,01103,1,01103,01170,LDVD,2014,01,01,01,2014_muni,bouvier,Christophe,t1,RAVOT,Jean-François,LDVG,100.0
2014_muni_t1,01103,2,01103,01170,LDVD,2014,01,01,01,2014_muni,bouvier,Christophe,t1,,,,
2014_muni_t1,01105,1,01105,01390,LDVD,2014,01,01,01,2014_muni,grison,Bernard,t1,BEGUET,Marie-Jeanne,LDVD,100.0
2014_muni_t1,01105,2,01105,01390,LDVD,2014,01,01,01,2014_muni,grison,Bernard,t1,,,,
2014_muni_t1,01108,1,01108,01270,LUG,2014,01,01,01,2014_muni,debat,JEAN FRANCOIS,t1,RAFFIN,Bruno,LDVD,100.0
2014_muni_t1,01108,2,01108,01270,LUG,2014,01,01,01,2014_muni,debat,JEAN FRANCOIS,t1,,,,
2014_muni_t1,01109,1,01109,01550,LDVD,2014,01,01,01,2014_muni,bouvier,Christophe,t1,DUPARC,André,LDVD,100.0
2014_muni_t1,01109,2,01109,01550,LDVD,2014,01,01,01,2014_muni,bouvier,Christophe,t1,,,,
2014_muni_t1,01115,1,01115,01310,LUG,2014,01,01,01,2014_muni,debat,JEAN FRANCOIS,t1,COLAS,Christiane,LSOC,100.0
2014_muni_t1,01115,2,01115,01310,LUG,2014,01,01,01,2014_muni,debat,JEAN FRANCOIS,t1,,,,
2014_muni_t1,01118,1,01118,01420,NC,2014,01,74,74,2014_muni,rannard,Paul,t1,TRAVAIL,Joseph,LDIV,100.0
2014_muni_t1,01118,2,01118,01420,NC,2014,01,74,74,2014_muni,rannard,Paul,t1,,,,
2014_muni_t1,01123,1,01123,01290,UG,2014,01,01,01,2014_muni,greffet,CHRISTOPHE,t1,CHAPPELON,Yves Augustin,LDVD,68.80570409982175
2014_muni_t1,01123,2,01123,01290,UG,2014,01,01,01,2014_muni,greffet,CHRISTOPHE,t1,JAILLET,Georges,LDVD,31.194295900178254
2014_muni_t1,01130,1,01130,01340,LUG,2014,01,01,01,2014_muni,debat,JEAN FRANCOIS,t1,PERRIN,Gérard,LDVG,100.0
2014_muni_t1,01130,2,01130,01340,LUG,2014,01,01,01,2014_muni,debat,JEAN FRANCOIS,t1,,,,
2014_muni_t1,01134,1,01134,01290,UG,2014,01,01,01,2014_muni,greffet,CHRISTOPHE,t1,PERRUCHE,Daniel,LDVD,59.496855345911946
2014_muni_t1,01134,2,01134,01290,UG,2014,01,01,01,2014_muni,greffet,CHRISTOPHE,t1,DURANDIN,Patrick,LDIV,40.503144654088054
2014_muni_t1,01135,1,01135,01170,LDVD,2014,01,01,01,2014_muni,bouvier,Christophe,t1,DONZÉ,Dominique,LDVD,54.99231950844854
2014_muni_t1,01135,2,01135,01170,LDVD,2014,01,01,01,2014_muni,bouvier,Christophe,t1,PINEY,Henri,LDVG,45.00768049155146
2014_muni_t1,01138,1,01138,01350,LREM,2014,01,01,01,2014_muni,vuillerod,RENE,t1,ANDRE-MASSE,Franck,LDVD,55.5895865237366
2014_muni_t1,01138,2,01138,01350,LREM,2014,01,01,01,2014_muni,vuillerod,RENE,t1,BÉRARDI,Christophe,LDVG,44.4104134762634
2014_muni_t1,01142,1,01142,01120,LDVD,2014,01,01,01,2014_muni,guillot vignot,Philippe,t1,SIMPLEX,Bernard,LDVD,100.0
2014_muni_t1,01142,2,01142,01120,LDVD,2014,01,01,01,2014_muni,guillot vignot,Philippe,t1,,,,
2014_muni_t1,01143,1,01143,01220,LDVD,2014,01,01,01,2014_muni,bouvier,Christophe,t1,BLANC,Etienne,LUMP,52.09125475285171
2014_muni_t1,01143,2,01143,01220,LDVD,2014,01,01,01,2014_muni,bouvier,Christophe,t1,LAURENT,Jean-Louis,LDVD,32.160963244613434
2014_muni_t1,01145,1,01145,01240,LUG,2014,01,01,01,2014_muni,debat,JEAN FRANCOIS,t1,BERARD,Jean,LDVD,100.0
2014_muni_t1,01145,2,01145,01240,LUG,2014,01,01,01,2014_muni,debat,JEAN FRANCOIS,t1,,,,
2014_muni_t1,01148,1,01148,01590,LDVD,2014,01,01,01,2014_muni,deguerry,Jean,t1,DUBARE,Marianne,LDVG,61.69265033407573
2014_muni_t1,01148,2,01148,01590,LDVD,2014,01,01,01,2014_muni,deguerry,Jean,t1,RIPPE,Nicolas,LDVD,38.30734966592428
2014_muni_t1,01151,1,01151,01160,LUG,2014,01,01,01,2014_muni,debat,JEAN FRANCOIS,t1,EMIN,Jean-Luc,LDIV,56.43410852713179
2014_muni_t1,01151,2,01151,01160,LUG,2014,01,01,01,2014_muni,debat,JEAN FRANCOIS,t1,DEVOY,Richard,LDIV,43.565891472868216
2014_muni_t1,01153,1,01153,01170,LDVD,2014,01,01,01,2014_muni,bouvier,Christophe,t1,REBEIX,Pierre,LDVD,100.0
2014_muni_t1,01153,2,01153,01170,LDVD,2014,01,01,01,2014_muni,bouvier,Christophe,t1,,,,
2014_muni_t1,01157,1,01157,01480,LDVD,2014,01,01,01,2014_muni,grison,Bernard,t1,DUMOULIN,Yves,LDVD,100.0
2014_muni_t1,01157,2,01157,01480,LDVD,2014,01,01,01,2014_muni,grison,Bernard,t1,,,,
2014_muni_t1,01159,1,01159,01570,LDVD,2014,01,01,01,2014_muni,billoudet,GUY,t1,BILLOUDET,Guy,LDVD,51.40243902439025
2014_muni_t1,01159,2,01159,01570,LDVD,2014,01,01,01,2014_muni,billoudet,GUY,t1,DUMAS,Gilles,LDIV,25.24390243902439
2014_muni_t1,01163,1,01163,01340,LUG,2014,01,01,01,2014_muni,debat,JEAN FRANCOIS,t1,FROMONT,Jean-Pierre,LDVG,100.0
2014_muni_t1,01163,2,01163,01340,LUG,2014,01,01,01,2014_muni,debat,JEAN FRANCOIS,t1,,,,
2014_muni_t1,01165,1,01165,01090,LDVD,2014,01,01,01,2014_muni,deschizeaux,Jean Claude,t1,LUX,Jean-Michel,LDVD,100.0
2014_muni_t1,01165,2,01165,01090,LDVD,2014,01,01,01,2014_muni,deschizeaux,Jean Claude,t1,,,,
2014_muni_t1,01166,1,01166,01480,LDVD,2014,01,01,01,2014_muni,grison,Bernard,t1,THEVENET,Martial,LDVD,100.0
2014_muni_t1,01166,2,01166,01480,LDVD,2014,01,01,01,2014_muni,grison,Bernard,t1,,,,
2014_muni_t1,01173,1,01173,01170,LDVD,2014,01,01,01,2014_muni,bouvier,Christophe,t1,DUNAND,Patrice,LDVD,55.76417574164476
2014_muni_t1,01173,2,01173,01170,LDVD,2014,01,01,01,2014_muni,bouvier,Christophe,t1,CHARPENTIER,Sébastien,LDVG,29.402929027412693
2014_muni_t1,01179,1,01179,01290,UG,2014,01,01,01,2014_muni,greffet,CHRISTOPHE,t1,RENOUD,Joëlle,LDIV,100.0
2014_muni_t1,01179,2,01179,01290,UG,2014,01,01,01,2014_muni,greffet,CHRISTOPHE,t1,,,,
2014_muni_t1,01181,1,01181,01100,LDVD,2014,01,01,01,2014_muni,deguerry,Jean,t1,MARRON,Jean-Luc,LDVD,100.0
2014_muni_t1,01181,2,01181,01100,LDVD,2014,01,01,01,2014_muni,deguerry,Jean,t1,,,,
2014_muni_t1,01183,1,01183,01090,LDVD,2014,01,01,01,2014_muni,deschizeaux,Jean Claude,t1,MORILLON,Guy,LDVD,100.0
2014_muni_t1,01183,2,01183,01090,LDVD,2014,01,01,01,2014_muni,deschizeaux,Jean Claude,t1,,,,
2014_muni_t1,01189,1,01189,01200,,2014,01,01,01,2014_muni,,,t1,COCHET,Albert,LDVG,100.0
2014_muni_t1,01189,2,01189,01200,,2014,01,01,01,2014_muni,,,t1,,,,
2014_muni_t1,01192,1,01192,01580,LDVD,2014,01,01,01,2014_muni,deguerry,Jean,t1,COLLETAZ,Michel,LDVD,100.0
2014_muni_t1,01192,2,01192,01580,LDVD,2014,01,01,01,2014_muni,deguerry,Jean,t1,,,,
2014_muni_t1,01195,1,01195,01250,LUG,2014,01,01,01,2014_muni,debat,JEAN FRANCOIS,t1,LAMUR,Véronique,LDVG,100.0
2014_muni_t1,01195,2,01195,01250,LUG,2014,01,01,01,2014_muni,debat,JEAN FRANCOIS,t1,,,,
2014_muni_t1,01196,1,01196,01340,LUG,2014,01,01,01,2014_muni,debat,JEAN FRANCOIS,t1,LONGERON,Robert,LDVD,71.19266055045873
2014_muni_t1,01196,2,01196,01340,LUG,2014,01,01,01,2014_muni,debat,JEAN FRANCOIS,t1,THENOZ,Arnaud,LDVG,28.807339449541285
2014_muni_t1,01199,1,01199,01640,LDVG,2014,01,01,01,2014_muni,dupuis,Thierry,t1,BOLLACHE,Anne,LDVG,65.07430997876857
