id_election,rang1_Prénom,rang2_Prénom,rang1_Nom,rang2_Nom,rang1_Nuance,rang2_Nuance,rang1_voix_pct,rang2_voix_pct,election,tour,annee,dep_x,Prénom Président,Nom Président,dep_y,Nuance_interco,insee,dept,Code INSEE,Code Postal
2014_muni_t1,Daniel,Patrick,PERRUCHE,DURANDIN,LDVD,LDIV,59.496855345911946,40.503144654088054,2014_muni,t1,2014,01,CHRISTOPHE,greffet,01,UG,01134,01,01134,01290
2014_muni_t1,Dominique,Henri,DONZÉ,PINEY,LDVD,LDVG,54.99231950844854,45.00768049155146,2014_muni,t1,2014,01,Christophe,bouvier,01,LDVD,01135,01,01135,01170
2014_muni_t1,Franck,Christophe,ANDRE-MASSE,BÉRARDI,LDVD,LDVG,55.5895865237366,44.4104134762634,2014_muni,t1,2014,01,RENE,vuillerod,01,LREM,01138,01,01138,01350
2014_muni_t1,Bernard,,SIMPLEX,,LDVD,,100.0,,2014_muni,t1,2014,01,Philippe,guillot vignot,01,LDVD,01142,01,01142,01120
2014_muni_t1,Etienne,Jean-Louis,BLANC,LAURENT,LUMP,LDVD,52.09125475285171,32.160963244613434,2014_muni,t1,2014,01,Christophe,bouvier,01,LDVD,01143,01,01143,01220
2014_muni_t1,Jean,,BERARD,,LDVD,,100.0,,2014_muni,t1,2014,01,JEAN FRANCOIS,debat,01,LUG,01145,01,01145,01240
2014_muni_t1,Marianne,Nicolas,DUBARE,RIPPE,LDVG,LDVD,61.69265033407573,38.30734966592428,2014_muni,t1,2014,01,Jean,deguerry,01,LDVD,01148,01,01148,01590
2014_muni_t1,Jean-Luc,Richard,EMIN,DEVOY,LDIV,LDIV,56.43410852713179,43.565891472868216,2014_muni,t1,2014,01,JEAN FRANCOIS,debat,01,LUG,01151,01,01151,01160
2014_muni_t1,Pierre,,REBEIX,,LDVD,,100.0,,2014_muni,t1,2014,01,Christophe,bouvier,01,LDVD,01153,01,01153,01170
2014_muni_t1,Yves,,DUMOULIN,,LDVD,,100.0,,2014_muni,t1,2014,01,Bernard,grison,01,LDVD,01157,01,01157,01480
2014_muni_t1,Guy,Gilles,BILLOUDET,DUMAS,LDVD,LDIV,51.40243902439025,25.24390243902439,2014_muni,t1,2014,01,GUY,billoudet,01,LDVD,01159,01,01159,01570
2014_muni_t1,Jean-Pierre,,FROMONT,,LDVG,,100.0,,2014_muni,t1,2014,01,JEAN FRANCOIS,debat,01,LUG,01163,01,01163,01340
2014_muni_t1,Jean-Michel,,LUX,,LDVD,,100.0,,2014_muni,t1,2014,01,Jean Claude,deschizeaux,01,LDVD,01165,01,01165,01090
2014_muni_t1,Martial,,THEVENET,,LDVD,,100.0,,2014_muni,t1,2014,01,Bernard,grison,01,LDVD,01166,01,01166,01480
