Code INSEE,Code Postal,Nuance_interco,annee,dep_x,dep_y,dept,election,president_nom,president_prenom,tour,Nom,prenom,Nuance,voix_pct_
01089,01500,NC,2014,01,01,01,2014_muni,guyader,Jean-Louis,t1,,,,
01092,01320,LDVD,2014,01,01,01,2014_muni,girer,MICHEL,t1,MICHON,André,LDVD,69.24157303370787
01092,01320,LDVD,2014,01,01,01,2014_muni,girer,MICHEL,t1,CHAUDEY,Agnès,LDIV,30.758426966292134
01093,01400,LDVD,2014,01,01,01,2014_muni,girer,MICHEL,t1,CLAYETTE,Yves,LUMP,53.2518337408313
01093,01400,LDVD,2014,01,01,01,2014_muni,girer,MICHEL,t1,FORAY,Guy,LDIV,46.748166259168705
01099,01150,NC,2014,01,01,01,2014_muni,guyader,Jean-Louis,t1,DULOT,René,LDVG,100.0
01099,01150,NC,2014,01,01,01,2014_muni,guyader,Jean-Louis,t1,,,,
01103,01170,LDVD,2014,01,01,01,2014_muni,bouvier,Christophe,t1,RAVOT,Jean-François,LDVG,100.0
01103,01170,LDVD,2014,01,01,01,2014_muni,bouvier,Christophe,t1,,,,
01105,01390,LDVD,2014,01,01,01,2014_muni,grison,Bernard,t1,BEGUET,Marie-Jeanne,LDVD,100.0
01105,01390,LDVD,2014,01,01,01,2014_muni,grison,Bernard,t1,,,,
01108,01270,LUG,2014,01,01,01,2014_muni,debat,JEAN FRANCOIS,t1,RAFFIN,Bruno,LDVD,100.0
01108,01270,LUG,2014,01,01,01,2014_muni,debat,JEAN FRANCOIS,t1,,,,
01109,01550,LDVD,2014,01,01,01,2014_muni,bouvier,Christophe,t1,DUPARC,André,LDVD,100.0
01109,01550,LDVD,2014,01,01,01,2014_muni,bouvier,Christophe,t1,,,,
01115,01310,LUG,2014,01,01,01,2014_muni,debat,JEAN FRANCOIS,t1,COLAS,Christiane,LSOC,100.0
01115,01310,LUG,2014,01,01,01,2014_muni,debat,JEAN FRANCOIS,t1,,,,
01118,01420,NC,2014,01,74,74,2014_muni,rannard,Paul,t1,TRAVAIL,Joseph,LDIV,100.0
01118,01420,NC,2014,01,74,74,2014_muni,rannard,Paul,t1,,,,
01123,01290,UG,2014,01,01,01,2014_muni,greffet,CHRISTOPHE,t1,CHAPPELON,Yves Augustin,LDVD,68.80570409982175
01123,01290,UG,2014,01,01,01,2014_muni,greffet,CHRISTOPHE,t1,JAILLET,Georges,LDVD,31.194295900178254
01130,01340,LUG,2014,01,01,01,2014_muni,debat,JEAN FRANCOIS,t1,PERRIN,Gérard,LDVG,100.0
01130,01340,LUG,2014,01,01,01,2014_muni,debat,JEAN FRANCOIS,t1,,,,
01134,01290,UG,2014,01,01,01,2014_muni,greffet,CHRISTOPHE,t1,PERRUCHE,Daniel,LDVD,59.496855345911946
01134,01290,UG,2014,01,01,01,2014_muni,greffet,CHRISTOPHE,t1,DURANDIN,Patrick,LDIV,40.503144654088054
01135,01170,LDVD,2014,01,01,01,2014_muni,bouvier,Christophe,t1,DONZÉ,Dominique,LDVD,54.99231950844854
